0,1,2,3,0,0,1,2,3,0,0,1,2,3,0,0,1,2,3,0,0,1,2,3,0,0,1,2,3,0,
1,2,3,0,1,1,2,3,0,1,1,2,3,0,1,1,2,3,0,1,1,2,3,0,1,1,2,3,0,1,
2,3,0,1,2,2,3,0,1,2,2,3,0,1,2,2,3,0,1,2,2,3,0,1,2,2,3,0,1,2,
0,1,2,3,0,0,1,2,3,0,0,1,2,3,0,0,1,2,3,0,0,1,2,3,0,0,1,2,3,0,
1,2,3,0,1,1,2,3,0,1,1,2,3,0,1,1,2,3,0,1,1,2,3,0,1,1,2,3,0,1,
2,3,0,1,2,2,3,0,1,2,2,3,0,1,2,2,3,0,1,2,2,3,0,1,2,2,3,0,1,2,
0,1,2,3,0,0,1,2,3,0,0,1,2,3,0,0,1,2,3,0,0,1,2,3,0,0,1,2,3,0,
1,2,3,0,1,1,2,3,0,1,1,2,3,0,1,1,2,3,0,1,1,2,3,0,1,1,2,3,0,1,
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
0,1,2,3,0,0,1,2,3,0,0,1,2,3,0,0,1,2,3,0,0,1,2,3,0,0,1,2,3,0,
1,2,3,0,1,1,2,3,0,1,1,2,3,0,1,1,2,3,0,1,1,2,3,0,1,1,2,3,0,1,
2,3,0,1,2,2,3,0,1,2,2,3,0,1,2,2,3,0,1,2,2,3,0,1,2,2,3,0,1,2,
0,1,2,3,0,0,1,2,3,0,0,1,2,3,0,0,1,2,3,0,0,1,2,3,0,0,1,2,3,0,
1,2,3,0,1,1,2,3,0,1,1,2,3,0,1,1,2,3,0,1,1,2,3,0,1,1,2,3,0,1,
2,3,0,1,2,2,3,0,1,2,2,3,0,1,2,2,3,0,1,2,2,3,0,1,2,2,3,0,1,2,
0,1,2,3,0,0,1,2,3,0,0,1,2,3,0,0,1,2,3,0,0,1,2,3,0,0,1,2,3,0,
1,2,3,0,1,1,2,3,0,1,1,2,3,0,1,1,2,3,0,1,1,2,3,0,1,1,2,3,0,1,
